iter	Passed	Remaining
0	2	210
1	4	208
2	6	208
3	7	188
4	10	193
5	12	200
6	14	197
7	16	192
8	18	187
9	20	182
10	22	179
11	24	179
12	26	175
13	28	175
14	31	180
15	33	177
16	35	174
17	37	171
18	40	172
19	45	181
20	47	179
21	49	176
22	51	172
23	53	169
24	55	167
25	58	166
26	60	164
27	62	161
28	64	157
29	66	154
30	67	150
31	69	148
32	72	147
33	74	144
34	76	141
35	78	138
36	80	136
37	81	133
38	83	130
39	86	130
40	89	129
41	90	125
42	92	122
43	94	120
44	96	117
45	98	115
46	100	113
47	103	112
48	106	110
49	108	108
50	109	105
51	111	103
52	113	100
53	116	99
54	117	96
55	119	94
56	121	91
57	123	89
58	125	86
59	126	84
60	128	82
61	133	81
62	135	79
63	137	77
64	139	74
65	140	72
66	142	70
67	144	67
68	146	65
69	148	63
70	150	61
71	151	58
72	152	56
73	154	54
74	156	52
75	157	49
76	159	47
77	161	45
78	162	43
79	164	41
80	165	38
81	167	36
82	168	34
83	170	32
84	171	30
85	173	28
86	175	26
87	178	24
88	180	22
89	182	20
90	184	18
91	186	16
92	188	14
93	190	12
94	193	10
95	195	8
96	197	6
97	199	4
98	200	2
99	202	0
